cluster_id,caseName,us_cite,volume,scdb_id,dateFiled,bucket,reason
6726371,Logan v. Patrick,9 U.S. 288,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726381,Dulany v. Hodgkin,9 U.S. 333,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726383,Yeaton v. Fry,9 U.S. 335,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726388,Moss v. Riddle & Co.,9 U.S. 351,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726390,Auld v. Norwood,9 U.S. 361,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726392,Slacum v. Simms & Wise,9 U.S. 363,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726393,United States v. Vowell & M'Clean,9 U.S. 368,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
6726395,Sally v. United States,9 U.S. 372,9,,1809-02-15,KEEP,vol>=5 (Cranch/Wheaton)
84895,Matthews v. Zane's Lessee,9 U.S. 92,9,1809-008,1809-02-16,KEEP,has scdb_id
84884,Alexander v. Mayor of Alexandria,9 U.S. 1,9,1809-003,1809-02-18,KEEP,has scdb_id
84885,Henderson v. Moore,9 U.S. 11,9,1809-004,1809-02-18,KEEP,has scdb_id
84886,Cooke v. Woodrow,9 U.S. 13,9,1809-005,1809-02-18,KEEP,has scdb_id
84887,Mandeville and Jamesson v. Wilson,9 U.S. 15,9,1809-006,1809-02-18,KEEP,has scdb_id
2620975,United States v. Weeks,9 U.S. 1,9,1809-002,1809-02-18,KEEP,has scdb_id
84897,United States v. Peters,9 U.S. 115,9,1809-009,1809-02-20,KEEP,has scdb_id
84900,Kempe's Lessee v. Kennedy,9 U.S. 173,9,1809-010,1809-02-20,KEEP,has scdb_id
84888,Fairfax's v. Fairfax,9 U.S. 19,9,1809-011,1809-02-21,KEEP,has scdb_id
84898,Violett v. Patton,9 U.S. 142,9,1809-012,1809-02-23,KEEP,has scdb_id
