cluster_id,caseName,us_cite,dateFiled,n_opinions,total_chars,text_sources
84952,Skillern's Executors v. May's Executors,10 U.S. 267,1810-03-18,1,663,html_with_citations
1119486,United States v. Ship Helen,10 U.S. 203,1810-03-18,1,255,html_with_citations
84973,"Hawthorne, of the Brig Clarissa Claiborne v. The United States",11 U.S. 107,1812-02-01,1,800,html_with_citations
2490153,Bingham v. Morris,11 U.S. 99,1812-02-13,1,752,html_with_citations
2490201,Schooner Catherine v. U. STATES,11 U.S. 99,1812-02-13,1,348,html_with_citations
84969,Shirras & Others v. Caig & Mitchel,11 U.S. 34,1812-02-17,1,12987,html_with_citations
84964,Hudson v. Guestier,11 U.S. 1,1812-02-18,1,1569,html_with_citations
84965,FITZSIMMONS & OTHERS v. Ogden & Others,11 U.S. 2,1812-02-20,1,11167,html_with_citations
84966,Brig James Wells v. The U. States,11 U.S. 22,1812-02-20,1,9852,html_with_citations
84975,Whelan v. The United States,11 U.S. 112,1812-02-20,1,2258,html_with_citations
84970,Schooner Paulina's Cargo v. United States,11 U.S. 52,1812-02-21,1,19184,html_with_citations
84967,"Maryland Insurance Company v. Le Roy, Bayard & M'evers",11 U.S. 26,1812-02-22,1,4458,html_with_citations
84977,United States v. Crosby,11 U.S. 115,1812-02-24,1,2413,html_with_citations
84999,United States v. Tyler,11 U.S. 285,1812-02-25,1,2304,html_with_citations
84972,Sloop Active v. United States,11 U.S. 100,1812-02-26,1,5498,html_with_citations
84974,United States v. Goodwin,11 U.S. 108,1812-03-10,1,8272,html_with_citations
84979,"Freeland v. Heron, Lenox & Co.",11 U.S. 147,1812-03-10,1,9740,html_with_citations
84988,Wilson v. Koontz,11 U.S. 202,1812-03-10,1,9285,html_with_citations
84989,Riddle v. Moss,11 U.S. 206,1812-03-10,1,1265,html_with_citations
84993,Wood v. Davis,11 U.S. 271,1812-03-10,1,609,html_with_citations
84971,Russell v. Clark's Executors,11 U.S. 69,1812-03-12,1,22955,html_with_citations
84981,Marsteller and Others v. McClean,11 U.S. 156,1812-03-13,1,3965,html_with_citations
84994,Morgan v. Reintzel,11 U.S. 273,1812-03-13,1,874,html_with_citations
84996,Wallen v. Williams,11 U.S. 278,1812-03-13,1,1107,html_with_citations
84998,Beatty v. The State of Maryland,11 U.S. 281,1812-03-13,1,9100,html_with_citations
2490480,Well v. Jackson,11 U.S. 276,1812-03-13,1,436,html_with_citations
